poly_num_hbond_donors_sum_fullpolymerfeaturizer,poly_num_hbond_acceptors_sum_fullpolymerfeaturizer,poly_num_non_aromatic_rings_sum_fullpolymerfeaturizer,poly_num_aromatic_rings_sum_fullpolymerfeaturizer,poly_topological_surface_area_sum_fullpolymerfeaturizer,poly_num_hbond_donors_sidechainfeaturizer_sum,poly_num_hbond_acceptors_sidechainfeaturizer_sum,poly_num_atoms_sum_backbonefeaturizer,poly_sp2_carbon_count_sum_backbonefeaturizer,poly_sp3_carbon_count_sum_backbonefeaturizer,poly_homo_eV_H,poly_lumo_eV_H,poly_homo_eV_C,poly_lumo_eV_C,poly_homo_eV_O,poly_lumo_eV_O,drug_num_hbond_donors_sum_fullmolecularfeaturizer,drug_num_hbond_acceptors_sum_fullmolecularfeaturizer,drug_num_non_aromatic_rings_sum_fullmolecularfeaturizer,drug_num_aromatic_rings_sum_fullmolecularfeaturizer,drug_logp,drug_min_logd_pH_7.0-7.4,drug_max_logd_pH_7.0-7.4,drug_homo_eV,drug_lumo_eV,CONCENTRATION,CAPACITY,SOURCE
5.0,6.0,0.0,1.0,104.39000000000001,5,6,4,0,2,17.228982920445578,-19.466585810721035,16.98781545259556,-19.61566840707973,16.76288247336351,-19.079855844648133,2,4,1,2,1.7959,-0.5649999999999988,0.46119999999999967,18.74268583000134,-22.930107690566828,25,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
5.0,6.0,0.0,1.0,104.39000000000001,5,6,4,0,2,17.07415366951694,-19.362213479513773,16.651943067439966,-19.0791760302167,16.811200332357707,-19.899611886038294,1,5,0,3,0.7357999999999993,0.7357999999999993,0.7357999999999993,16.139642683459822,-23.026908073767537,25,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
5.0,6.0,0.0,1.0,104.39000000000001,5,6,4,0,2,16.906669792609588,-19.288235521022763,17.004981181137484,-19.13059378165585,16.46948263391581,-19.267443880445118,2,9,5,0,5.7289000000000065,5.7289000000000065,5.7289000000000065,17.339496407083747,-20.1856664971898,25,15.13,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
5.0,6.0,0.0,1.0,104.39000000000001,5,6,4,0,2,17.19011701643297,-19.434985886460467,17.138256712616474,-19.70929933703901,16.759960185975366,-19.402552052117247,1,2,0,1,2.4568000000000003,1.1220999999999997,1.1220999999999997,16.127349284490638,-28.923595859361743,25,24.38,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
5.0,6.0,0.0,1.0,104.39000000000001,5,6,4,0,2,17.054864457998484,-19.320869710889337,16.856969801076033,-18.96200428020416,16.60391887674893,-19.484393829637536,2,5,1,3,5.9722400000000055,4.708240000000004,5.9722400000000055,31.311715717469884,-21.133426278251367,25,24.17,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
5.0,6.0,0.0,1.0,104.39000000000001,5,6,4,0,2,16.78154655152908,-19.220000841269215,16.79346949220006,-19.434091079284176,16.49126366064976,-19.06669165013156,0,4,0,3,2.827300000000001,2.827300000000001,2.827300000000001,19.925169690364292,-20.139275936790536,25,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
1.0,1.0,0.0,0.0,37.3,1,1,5,0,3,15.634538561796276,-20.288334353387828,15.74411961573149,-20.19003705211412,15.205541035346494,-20.47260252083997,2,5,1,2,1.5809999999999997,0.1639000000000001,1.5809999999999997,31.065811332046138,-21.253510506208723,25,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
1.0,1.0,0.0,0.0,37.3,1,1,5,0,3,15.920108997590416,-20.28701402977587,15.679007935270949,-20.192356606841717,14.646384259678475,-20.54822595715334,3,5,2,1,0.3181000000000002,-3.1504999999999965,-1.016599999999999,18.274716532281957,-20.95103894836194,25,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
1.0,1.0,0.0,0.0,37.3,1,1,5,0,3,15.634544135923553,-20.288333553352615,15.744109542695407,-20.190031799019437,14.911261419139057,-20.967659361086085,6,9,3,1,-0.5041999999999991,-4.948699999999995,-2.899599999999996,17.656745507483333,-19.899766071199046,25,7.91,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
1.0,1.0,0.0,0.0,37.3,1,1,5,0,3,15.920135312537385,-20.287016201926225,15.645238040037368,-20.210757780842144,14.571638023513842,-21.02221325856582,2,4,1,2,1.7959,-0.5649999999999988,0.46119999999999967,18.70364610577352,-23.010969507902434,25,23.67,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
1.0,1.0,0.0,0.0,37.3,1,1,5,0,3,15.634543422576582,-20.28833686924761,15.676636189161936,-20.205070582271162,15.458243007686342,-20.664099050783506,1,5,0,3,0.7357999999999993,0.7357999999999993,0.7357999999999993,15.899388534921867,-23.236494621388797,25,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
1.0,1.0,0.0,0.0,37.3,1,1,5,0,3,15.920142551272662,-20.287013543622788,15.679005709798108,-20.19235340794631,14.911175880535767,-20.967686806246622,2,9,5,0,5.7289000000000065,5.7289000000000065,5.7289000000000065,17.579875048699808,-19.951253737074637,25,22.69,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
1.0,1.0,0.0,0.0,37.3,1,1,5,0,3,15.920098401047735,-20.287017061158327,15.679000371865842,-20.192358784924835,14.668550326206205,-20.879877323998564,1,2,0,1,2.4568000000000003,1.1220999999999997,1.1220999999999997,16.151398256689102,-28.876516670764815,25,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
1.0,1.0,0.0,0.0,37.3,1,1,5,0,3,15.920122543822595,-20.287020765638534,15.676622765759598,-20.20507810866818,15.031459892421942,-20.424923328741915,2,5,1,3,5.9722400000000055,4.708240000000004,5.9722400000000055,31.316995543037663,-21.109741662008595,25,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
1.0,1.0,0.0,0.0,37.3,1,1,5,0,3,15.920125488467184,-20.287016090363924,15.67897445775778,-20.192360419222098,14.646460906648867,-20.548223607243308,0,4,0,3,2.827300000000001,2.827300000000001,2.827300000000001,19.925177692481267,-20.139263564893387,25,24.44,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
