POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
Fe3O4 coated polymer (clay: chitosan) composite,Gemfibrozil,4.0,13.33333,8.26667,interpolated
Fe3O4 coated polymer (clay: chitosan) composite,Gemfibrozil,4.0,26.66667,16.53333,interpolated
Fe3O4 coated polymer (clay: chitosan) composite,Gemfibrozil,4.0,40.0,24.8,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4 nanoparticle,Levofloxacin,6.5,0.0,0.0,interpolated
Fe3O4 nanoparticle,Levofloxacin,6.5,6.66667,2.28267,interpolated
Fe3O4 nanoparticle,Levofloxacin,6.5,13.33333,4.56533,interpolated
Fe3O4 nanoparticle,Levofloxacin,6.5,20.0,6.848,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4/CD/AC/SA,Ciprofloxacin,5.0,0.0,0.0,interpolated
Fe3O4/CD/AC/SA,Ciprofloxacin,5.0,6.66667,1.04167,interpolated
Fe3O4/CD/AC/SA,Ciprofloxacin,5.0,13.33333,2.08333,interpolated
Fe3O4/CD/AC/SA,Ciprofloxacin,5.0,20.0,3.125,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4/CD/AC/SA,Norfloxacin,5.0,0.0,0.0,interpolated
Fe3O4/CD/AC/SA,Norfloxacin,5.0,6.66667,0.85033,interpolated
Fe3O4/CD/AC/SA,Norfloxacin,5.0,13.33333,1.70067,interpolated
Fe3O4/CD/AC/SA,Norfloxacin,5.0,20.0,2.551,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4/Douglas fir biochar,Acetylsalicylic acid,8.0,0.0,0.0,interpolated
Fe3O4/Douglas fir biochar,Acetylsalicylic acid,8.0,33.33333,50.0,interpolated
Fe3O4/Douglas fir biochar,Acetylsalicylic acid,8.0,66.66667,100.0,interpolated
Fe3O4/Douglas fir biochar,Acetylsalicylic acid,8.0,100.0,150.0,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4/red mud,Ciprofloxacin,6.0,0.0,0.0,interpolated
Fe3O4/red mud,Ciprofloxacin,6.0,1.0,36.71667,interpolated
Fe3O4/red mud,Ciprofloxacin,6.0,2.0,73.43333,interpolated
