POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE,charge_at_WATER_PH_H,charge_at_WATER_PH_C,charge_at_WATER_PH_O,charge_at_WATER_PH
*CC(C)(C(=O)OCCO)*,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,6.5,25.0,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal,0,0,0,1.0
*CC(C)(C(=O)OCCO)*,CC1=CC(=C(C=C1C2(C3=CC=CC=C3S(=O)(=O)O2)C4=CC(=C(C=C4C)O)C(C)C)C(C)C)O,6.5,25.0,14.73,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal,0,0,0,-2.0
*OC1C(O)C(O)C(*)OC1COC(=O)CC(O)(C(=O)O)CC(=O)NCCN,[Cd+2],5.0,100.0,43.5,https://www.sciencedirect.com/science/article/pii/S0141813022004779,0,0,0,2.0
*OC1C(O)C(O)C(*)OC1COC(=O)CC(O)(C(=O)O)CC(=O)NCCN,[Pb+2],5.0,100.0,65.7,https://www.sciencedirect.com/science/article/pii/S0141813022004779,0,0,0,2.0
*CC(=C)C(=O)O*,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,6.0,2.0,0.0717,https://link.springer.com/article/10.1007/s11356-022-19130-0,-1,0,0,-1.0
*CC(=C)C(=O)O*,,6.0,2.0,0.07,https://link.springer.com/article/10.1007/s11356-022-19130-0,-1,0,0,
*CC(=C)C(=O)O*,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,6.0,2.0,0.0719,https://link.springer.com/article/10.1007/s11356-022-19130-0,-1,0,0,-1.0
*CC(C(=O)NC(C)C)*,[Ag],6.6,100.0,13.6,https://www.sciencedirect.com/science/article/pii/S2213343718305608,0,0,0,0.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,6.18e-05,0.000106766,https://link.springer.com/article/10.1007/s11270-023-06281-0,0,-1,0,-2.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.0001,0.00018,interpolated,0,-1,0,-2.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.00013,0.00025,interpolated,0,-1,0,-2.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.0001713,0.00031752,https://link.springer.com/article/10.1007/s11270-023-06281-0,0,-1,0,-2.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.00024,0.00055,interpolated,0,-1,0,-2.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.00032,0.00078,interpolated,0,-1,0,-2.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.0003904,0.0010122667,https://link.springer.com/article/10.1007/s11270-023-06281-0,0,-1,0,-2.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.00042,0.00121,interpolated,0,-1,0,-2.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.00044,0.00142,interpolated,0,-1,0,-2.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.0004691,0.0016180333,https://link.springer.com/article/10.1007/s11270-023-06281-0,0,-1,0,-2.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.00215,0.00691,interpolated,0,-1,0,-2.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,8.2,0.00384,0.0122,interpolated,0,-1,0,-2.0
*NCCCCNC(=O)CCCC(=O)*,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C.O.O.O,7.0,0.005519,0.0174953333,https://link.springer.com/article/10.1007/s11270-023-06281-0,1,1,0,0.0
